
## 对话
### Prefix Category_temp:Random Noon Event: Darkness 61+ ID:Event_4timesJINE_JINE001
糖糖: 阿P，你和我在一起真的开心吗？你真的爱我吗？？？
## 对话
### Prefix Category_temp:Random Noon Event: Darkness 61+ ID:Event_4timesJINE_JINE002
糖糖: 我最近负能量很大……所以忍不住会想，如果阿P和我在一起真的开心，又真的爱我，或许我就不会这么痛苦了吧
## 对话
### Prefix Category_temp:Random Noon Event: Darkness 61+ ID:Event_4timesJINE_JINE003
糖糖: 我可以相信你吧？
## 对话
### Prefix Category_temp:Random Noon Event_ Darkness 61+ ID:Event_4timesJINE_JINE001
糖糖: 阿P，你和我在一起真的开心吗？你真的爱我吗？？？
## 对话
### Prefix Category_temp:Random Noon Event_ Darkness 61+ ID:Event_4timesJINE_JINE002
糖糖: 我最近负能量很大……所以忍不住会想，如果阿P和我在一起真的开心，又真的爱我，或许我就不会这么痛苦了吧
## 对话
### Prefix Category_temp:Random Noon Event_ Darkness 61+ ID:Event_4timesJINE_JINE003
糖糖: 我可以相信你吧？
## 对话
### Prefix Category_temp:Random Noon Event_ Darkness 61+ ID:Event_4timesJINE_JINE001
糖糖: 阿P，你和我在一起真的开心吗？你真的爱我吗？？？
## 对话
### Prefix Category_temp:Random Noon Event_ Darkness 61+ ID:Event_4timesJINE_JINE002
糖糖: 我最近负能量很大……所以忍不住会想，如果阿P和我在一起真的开心，又真的爱我，或许我就不会这么痛苦了吧
## 对话
### Prefix Category_temp:Random Noon Event_ Darkness 61+ ID:Event_4timesJINE_JINE003
糖糖: 我可以相信你吧？
## 对话
### Prefix Category_temp:Random Noon Event_ Darkness 61+ ID:Event_4timesJINE_JINE001
糖糖: 阿P，你和我在一起真的开心吗？你真的爱我吗？？？
## 对话
### Prefix Category_temp:Random Noon Event_ Darkness 61+ ID:Event_4timesJINE_JINE002
糖糖: 我最近负能量很大……所以忍不住会想，如果阿P和我在一起真的开心，又真的爱我，或许我就不会这么痛苦了吧
## 对话
### Prefix Category_temp:Random Noon Event_ Darkness 61+ ID:Event_4timesJINE_JINE003
糖糖: 我可以相信你吧？
