
## 对话
### Prefix Category_temp:Random Noon Event: Followers 1-99999 ID:Event_Anxiety_JINE001
糖糖: 如果我一直不涨粉，到死都是底层主播，你会怎么办？
## 对话
### Prefix Category_temp:Random Noon Event: Followers 1-99999 ID:Event_Anxiety_JINE002
糖糖: 我现在做着没人看的直播，一直对着空气自言自语哦
## 对话
### Prefix Category_temp:Random Noon Event: Followers 1-99999 ID:Event_Anxiety_JINE003
糖糖: 总有一天阿P也会厌烦我的
## 对话
### Prefix Category_temp:Random Noon Event: Followers 1-99999 ID:Event_Anxiety_JINE004
糖糖: 那糖糖这辈子也完了
## 对话
### Prefix Category_temp:Random Noon Event: Followers 1-99999 ID:Event_Anxiety_JINE005
糖糖: 我还不想死啊…
## 对话
### Prefix Category_temp:Random Noon Event_ Followers 1-99999 ID:Event_Anxiety_JINE001
糖糖: 如果我一直不涨粉，到死都是底层主播，你会怎么办？
## 对话
### Prefix Category_temp:Random Noon Event_ Followers 1-99999 ID:Event_Anxiety_JINE002
糖糖: 我现在做着没人看的直播，一直对着空气自言自语哦
## 对话
### Prefix Category_temp:Random Noon Event_ Followers 1-99999 ID:Event_Anxiety_JINE003
糖糖: 总有一天阿P也会厌烦我的
## 对话
### Prefix Category_temp:Random Noon Event_ Followers 1-99999 ID:Event_Anxiety_JINE004
糖糖: 那糖糖这辈子也完了
## 对话
### Prefix Category_temp:Random Noon Event_ Followers 1-99999 ID:Event_Anxiety_JINE005
糖糖: 我还不想死啊…
## 对话
### Prefix Category_temp:Random Noon Event_ Followers 1-99999 ID:Event_Anxiety_JINE001
糖糖: 如果我一直不涨粉，到死都是底层主播，你会怎么办？
## 对话
### Prefix Category_temp:Random Noon Event_ Followers 1-99999 ID:Event_Anxiety_JINE002
糖糖: 我现在做着没人看的直播，一直对着空气自言自语哦
## 对话
### Prefix Category_temp:Random Noon Event_ Followers 1-99999 ID:Event_Anxiety_JINE003
糖糖: 总有一天阿P也会厌烦我的
## 对话
### Prefix Category_temp:Random Noon Event_ Followers 1-99999 ID:Event_Anxiety_JINE004
糖糖: 那糖糖这辈子也完了
## 对话
### Prefix Category_temp:Random Noon Event_ Followers 1-99999 ID:Event_Anxiety_JINE005
糖糖: 我还不想死啊…
## 对话
### Prefix Category_temp:Random Noon Event_ Followers 1-99999 ID:Event_Anxiety_JINE001
糖糖: 如果我一直不涨粉，到死都是底层主播，你会怎么办？
## 对话
### Prefix Category_temp:Random Noon Event_ Followers 1-99999 ID:Event_Anxiety_JINE002
糖糖: 我现在做着没人看的直播，一直对着空气自言自语哦
## 对话
### Prefix Category_temp:Random Noon Event_ Followers 1-99999 ID:Event_Anxiety_JINE003
糖糖: 总有一天阿P也会厌烦我的
## 对话
### Prefix Category_temp:Random Noon Event_ Followers 1-99999 ID:Event_Anxiety_JINE004
糖糖: 那糖糖这辈子也完了
## 对话
### Prefix Category_temp:Random Noon Event_ Followers 1-99999 ID:Event_Anxiety_JINE005
糖糖: 我还不想死啊…
