
## 对话
### Prefix Category_temp:Random Noon Event: Followers 500k+ ID:Event_Dox_JINE001
糖糖: 我现在名气这么大了，是不是哪天素颜上街约会都会被认出来？？？想想好恐怖啊？？？
## 对话
### Prefix Category_temp:Random Noon Event: Followers 500k+ ID:Event_Dox_JINE002
糖糖: 可是……我还是想跟阿P出去约会
## 对话
### Prefix Category_temp:Random Noon Event_ Followers 500k+ ID:Event_Dox_JINE001
糖糖: 我现在名气这么大了，是不是哪天素颜上街约会都会被认出来？？？想想好恐怖啊？？？
## 对话
### Prefix Category_temp:Random Noon Event_ Followers 500k+ ID:Event_Dox_JINE002
糖糖: 可是……我还是想跟阿P出去约会
## 对话
### Prefix Category_temp:Random Noon Event_ Followers 500k+ ID:Event_Dox_JINE001
糖糖: 我现在名气这么大了，是不是哪天素颜上街约会都会被认出来？？？想想好恐怖啊？？？
## 对话
### Prefix Category_temp:Random Noon Event_ Followers 500k+ ID:Event_Dox_JINE002
糖糖: 可是……我还是想跟阿P出去约会
## 对话
### Prefix Category_temp:Random Noon Event_ Followers 500k+ ID:Event_Dox_JINE001
糖糖: 我现在名气这么大了，是不是哪天素颜上街约会都会被认出来？？？想想好恐怖啊？？？
## 对话
### Prefix Category_temp:Random Noon Event_ Followers 500k+ ID:Event_Dox_JINE002
糖糖: 可是……我还是想跟阿P出去约会
