
## 对话
### Prefix Category_temp:Random Noon Event: Daily ID:Event_Yutabon001
糖糖: 学校这种东西上来干嘛！
### Option-1
User:　没绰！

### Option-2
User:　大概吧

### Option-3
User:　不对，当然要去上了

## 对话
### Prefix Category_temp:Random Noon Event: Daily ID:Event_Yutabon002
糖糖: 在家躺平就好了！
### Option-2
User:　很对！！

### Option-2
User:　大概？

### Option-2
User:　不是，你也收拾下房间啊

## 对话
### Prefix Category_temp:Random Noon Event: Daily ID:Event_Yutabon003
糖糖: 你要满足糖糖所有任性的要求！
### Option-3
User:　说得好！！！

### Option-3
User:　是吗……？

### Option-3
User:　不行，今天的我会很严格

## 对话
### Prefix Category_temp:Random Noon Event: Daily ID:Event_Yutabon004
糖糖: 不想直播也可以不播！
## 对话
### Prefix Category_temp:Random Noon Event_ Daily ID:Event_Yutabon001
糖糖: 学校这种东西上来干嘛！
### Option-1
User:　没绰！

### Option-2
User:　大概吧

### Option-3
User:　不对，当然要去上了

## 对话
### Prefix Category_temp:Random Noon Event_ Daily ID:Event_Yutabon002
糖糖: 在家躺平就好了！
### Option-2
User:　很对！！

### Option-2
User:　大概？

### Option-2
User:　不是，你也收拾下房间啊

## 对话
### Prefix Category_temp:Random Noon Event_ Daily ID:Event_Yutabon003
糖糖: 你要满足糖糖所有任性的要求！
### Option-3
User:　说得好！！！

### Option-3
User:　是吗……？

### Option-3
User:　不行，今天的我会很严格

## 对话
### Prefix Category_temp:Random Noon Event_ Daily ID:Event_Yutabon004
糖糖: 不想直播也可以不播！
## 对话
### Prefix Category_temp:Random Noon Event_ Daily ID:Event_Yutabon001
糖糖: 学校这种东西上来干嘛！
### Option-1
User:　没绰！

### Option-2
User:　大概吧

### Option-3
User:　不对，当然要去上了

## 对话
### Prefix Category_temp:Random Noon Event_ Daily ID:Event_Yutabon002
糖糖: 在家躺平就好了！
### Option-2
User:　很对！！

### Option-2
User:　大概？

### Option-2
User:　不是，你也收拾下房间啊

## 对话
### Prefix Category_temp:Random Noon Event_ Daily ID:Event_Yutabon003
糖糖: 你要满足糖糖所有任性的要求！
### Option-3
User:　说得好！！！

### Option-3
User:　是吗……？

### Option-3
User:　不行，今天的我会很严格

## 对话
### Prefix Category_temp:Random Noon Event_ Daily ID:Event_Yutabon004
糖糖: 不想直播也可以不播！
## 对话
### Prefix Category_temp:Random Noon Event_ Daily ID:Event_Yutabon001
糖糖: 学校这种东西上来干嘛！
### Option-1
User:　没绰！

### Option-2
User:　大概吧

### Option-3
User:　不对，当然要去上了

## 对话
### Prefix Category_temp:Random Noon Event_ Daily ID:Event_Yutabon002
糖糖: 在家躺平就好了！
### Option-2
User:　很对！！

### Option-2
User:　大概？

### Option-2
User:　不是，你也收拾下房间啊

## 对话
### Prefix Category_temp:Random Noon Event_ Daily ID:Event_Yutabon003
糖糖: 你要满足糖糖所有任性的要求！
### Option-3
User:　说得好！！！

### Option-3
User:　是吗……？

### Option-3
User:　不行，今天的我会很严格

## 对话
### Prefix Category_temp:Random Noon Event_ Daily ID:Event_Yutabon004
糖糖: 不想直播也可以不播！
